飲食店店名,ジャンル,立地,営業j時間,定休日・臨時定休日,コンセント,Wi-fi,禁煙,英語対応,エレベーター,座席数,他のサービスの導入,電話番号,住所,反応やアドバイス,外部リンクURL,FB,Twitter,インスタグラム
創作和食 代官山 楚々,和食と和菓子のお店,恵比寿駅から徒歩8分, ランチ：11:30～14:30、カフェ：14:30～17:00、ディナー：18:00～23:30(L.O.22:30),,,,,,,,,050-3467-6968,〒150-0021 東京都渋谷区恵比寿西1-34-28 1F,,https://r.gnavi.co.jp/ft33w8c80000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
晴れたら空に豆まいて,貸切パーティバンドOK,代官山駅から徒歩1分, 10:00～22:30(※パーティーの場合),,,,,,,,,050-3462-1867,〒150-0034 東京都渋谷区代官山町20-20 B2,,https://r.gnavi.co.jp/p1t873m90000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
GOBLIN．DAIKANYAMA,28～100名貸切OK,代官山駅から徒歩3分, 9:00～23:00(（要予約）),,,,,,,,,050-3490-8621,〒150-0021 東京都渋谷区恵比寿西1-33-18 コート代官山B1,,https://r.gnavi.co.jp/26fmu9j00000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
アジアンダイニング＆Bar Sathi 代官山店,ダイニングバー,代官山駅から徒歩2分,月～金 ランチ：11:30～15:30、ディナー：17:30～23:30(L.O.22:30、ドリンクL.O.23:15)土・日・祝 ランチ：11:30～17:00、ディナー：17:00～24:00(L.O.22:30、ドリンクL.O.23:30)(  ※2018／12／31は11:30～15:30・17:00～22:00（L.O.21:30、ドリンクL.O.21:30）にて営業),,,,,,,,,050-3477-6992,〒150-0033 東京都渋谷区猿楽町23-6 スコットサイド代官山2F,,https://r.gnavi.co.jp/ncy7y6w50000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
LE COMPTOIR OCCITAN,ビストロ/フレンチ,代官山駅から徒歩4分,月～日 11:00～23:00(L.O.22:00),,,,,,,,,050-3466-3004,〒150-0033 東京都渋谷区猿楽町29-18 ヒルサイドテラスA-6,,https://r.gnavi.co.jp/p2gvsdme0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
PARATACO,メキシコ料理,代官山駅から徒歩徒歩3分,月～日・祝前日・祝日 10:00～22:00( ),,,,,,,,,03-6452-5156,〒150-0034 東京都渋谷区代官山町13-6 88DAIKANYAMAビル1F,,https://r.gnavi.co.jp/29dged2s0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
N’s Garden,貸切ＢＢＱスペース,代官山駅から徒歩3分,月～日 12:00～23:00(L.O.22:30),,,,,,,,,050-3373-0039,〒150-0034 東京都渋谷区代官山町14-9 4F,,https://r.gnavi.co.jp/sfmcek8d0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
N’s Lounge,貸切×個室×イタリアン,代官山駅から徒歩徒歩3分,月～日 11:30～23:00(L.O.22:30),,,,,,,,,050-3188-8763,〒150-0034 東京都渋谷区代官山町14-9 B1・1F,,https://r.gnavi.co.jp/6gg0909p0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
金の和食 京都ぎおん まろまろ庵 恵比寿西口店,和食と美酒・個室居酒屋,恵比寿駅から徒歩4分,月～土・祝前日 ディナー：17:00～翌1:00(L.O.23:15)(※食材の在庫状況により、閉店時間が早まる場合がございます。ご来店前に一度ご連絡いただけますと幸いです。  ※当日のキャンセルの場合は、お料理代１００％、又は、お席料金３０００円のキャンセル料金が発生します。),,,,,,,,,050-3466-9644,〒150-0021 東京都渋谷区恵比寿西2-17-5 サンビレッジ代官山B1,,https://r.gnavi.co.jp/g953801/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
