飲食店店名,ジャンル,立地,営業j時間,定休日・臨時定休日,コンセント,Wi-fi,禁煙,英語対応,エレベーター,座席数,他のサービスの導入,電話番号,住所,反応やアドバイス,外部リンクURL,FB,Twitter,インスタグラム
圭助 日吉,居酒屋,日吉駅から徒歩1分,月～金 ランチ：12:00～14:00(L.O.13:40)月～土 ディナー：17:00～23:00(L.O.22:00、ドリンクL.O.22:30),,,,,,,,,050-3464-0891,〒223-0062 神奈川県横浜市港北区日吉本町1-1-9 ビッグ日吉駅前店舗1・2F,,https://r.gnavi.co.jp/gyt2he8v0000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
Number3 cafe＆Dining 日吉店,カフェ＆バー,日吉駅から徒歩3分,月～日 ランチ：11:00～15:00月～日 ディナー：18:00～23:00,,,,,,,,,050-3462-9276,〒223-0062 神奈川県横浜市港北区日吉本町1-19-18 3F,,https://r.gnavi.co.jp/4wv6zyn20000/?ak=6ixyhJYSLAJVXKM1oRRjFYOO7MkY7ItYkPyn4Q9NHbE%3D,
